state,date,state_new_cases_per_100000,state_new_deaths_per_100000
Georgia,8/18/2020,25.92334694,0.601605254
Texas,8/18/2020,25.43987777,0.724692089
Florida,8/18/2020,24.91024615,0.80820804
Nevada,8/18/2020,24.09990912,0.569659895
Mississippi,8/18/2020,23.50553987,0.875358933
Tennessee,8/18/2020,22.90564247,0.322852446
Idaho,8/18/2020,22.17524946,0.293172597
California,8/18/2020,21.37744544,0.3542804
Missouri,8/18/2020,20.08853225,0.18421289
Puerto Rico,8/18/2020,19.27025985,0.26379242
Arkansas,8/18/2020,19.2225273,0.298623842
Alabama,8/18/2020,19.02668872,0.260119093
Louisiana,8/18/2020,18.39371038,0.738814034
North Dakota,8/18/2020,16.85919415,0.187950882
Kansas,8/18/2020,16.71199579,0.088319414
Iowa,8/18/2020,16.65684833,0.253473779
Oklahoma,8/18/2020,16.60776116,0.221002057
Hawaii,8/18/2020,16.02061742,0.070398193
South Carolina,8/18/2020,15.57227594,0.688417107
Kentucky,8/18/2020,14.40591705,0.150261452
Illinois,8/18/2020,14.21274447,0.143517773
Nebraska,8/18/2020,13.24336484,0.133285193
Delaware,8/18/2020,13.20493333,0.029541238
Indiana,8/18/2020,12.77668242,0.204939267
Arizona,8/18/2020,12.31635965,0.657350588
South Dakota,8/18/2020,11.78824236,0.129541125
North Carolina,8/18/2020,11.05587454,0.217375333
Virginia,8/18/2020,10.96374359,0.087213503
Utah,8/18/2020,10.86871295,0.090384307
Wisconsin,8/18/2020,10.83917582,0.081091091
Minnesota,8/18/2020,10.82787465,0.279204543
Alaska,8/18/2020,10.69339292,0.058116266
Maryland,8/18/2020,10.38321781,0.108749549
Montana,8/18/2020,9.9783019,0.094134924
District of Columbia,8/18/2020,8.724503959,0.122021034
Ohio,8/18/2020,8.657385015,0.193092438
Rhode Island,8/18/2020,8.633729237,0.108090507
Washington,8/18/2020,7.795388198,0.174410436
Michigan,8/18/2020,7.415886533,0.107186643
Wyoming,8/18/2020,7.096654706,0.02472702
West Virginia,8/18/2020,6.795443082,0.11866315
Oregon,8/18/2020,6.483724505,0.09885805
New Mexico,8/18/2020,6.381239809,0.204526917
Pennsylvania,8/18/2020,5.834951303,0.14612476
Colorado,8/18/2020,5.492996705,0.062705442
Massachusetts,8/18/2020,4.876328062,0.200765629
New Jersey,8/18/2020,4.20624622,0.074834728
New York,8/18/2020,3.339292035,0.051171288
Connecticut,8/18/2020,2.719725098,0.047983388
Maine,8/18/2020,1.718464679,0.010673694
New Hampshire,8/18/2020,1.64293434,0.052658152
Vermont,8/18/2020,1.322964636,0
Northern Mariana Islands,8/18/2020,,
Virgin Islands,8/18/2020,,
Guam,8/18/2020,,
American Samoa,8/18/2020,,
Georgia,8/17/2020,26.93779191,0.676296651
Florida,8/17/2020,26.2469753,0.846438628
Texas,8/17/2020,25.64743038,0.711336385
Nevada,8/17/2020,23.51612542,0.536704364
Idaho,8/17/2020,23.07105461,0.27688523
Tennessee,8/17/2020,22.8528888,0.324962592
Mississippi,8/17/2020,22.78324917,0.875358933
Missouri,8/17/2020,20.67381624,0.172553846
Louisiana,8/17/2020,20.00009442,0.732682797
California,8/17/2020,19.92926562,0.296136522
Arkansas,8/17/2020,19.07321538,0.270973486
Puerto Rico,8/17/2020,17.61149734,0.250379246
North Dakota,8/17/2020,17.55461242,0.244336147
Alabama,8/17/2020,17.48935565,0.374103864
Oklahoma,8/17/2020,17.20193063,0.217379073
Kansas,8/17/2020,16.83466164,0.098132682
Iowa,8/17/2020,16.58442725,0.239894826
South Carolina,8/17/2020,16.28036211,0.674367778
Hawaii,8/17/2020,15.85970726,0.060341309
Kentucky,8/17/2020,14.18532045,0.137473243
Illinois,8/17/2020,13.99971027,0.135669145
Nebraska,8/17/2020,13.82463638,0.103666261
Delaware,8/17/2020,13.32309828,0.029541238
Arizona,8/17/2020,12.91195912,0.70117396
Indiana,8/17/2020,12.83859116,0.194265347
Wisconsin,8/17/2020,12.61826521,0.100749537
Utah,8/17/2020,11.31611527,0.085865092
South Dakota,8/17/2020,11.2862705,0.113348484
Virginia,8/17/2020,11.19016326,0.097276599
North Carolina,8/17/2020,10.94305949,0.204993194
Minnesota,8/17/2020,10.69293993,0.270293759
Maryland,8/17/2020,10.53688565,0.118206032
Montana,8/17/2020,10.42208083,0.094134924
Alaska,8/17/2020,10.36406741,0.038744177
District of Columbia,8/17/2020,9.476967004,0.122021034
Ohio,8/17/2020,8.959244712,0.194314542
Rhode Island,8/17/2020,8.620217924,0.108090507
Michigan,8/17/2020,7.778891963,0.094324246
Washington,8/17/2020,7.723349104,0.166827374
New Mexico,8/17/2020,7.199347477,0.190891789
Wyoming,8/17/2020,7.146108746,0.04945404
West Virginia,8/17/2020,6.993214999,0.150306657
Oregon,8/17/2020,6.691667299,0.105675846
Pennsylvania,8/17/2020,6.052465259,0.15504841
Colorado,8/17/2020,5.846655397,0.085279401
Massachusetts,8/17/2020,5.22818535,0.209044624
New Jersey,8/17/2020,4.387453167,0.080447332
New York,8/17/2020,3.348064256,0.047516196
Connecticut,8/17/2020,2.799030975,0.047983388
New Hampshire,8/17/2020,1.727187383,0.042126522
Maine,8/17/2020,1.558359274,0.021347387
Vermont,8/17/2020,1.482632782,0
Northern Mariana Islands,8/17/2020,,
Virgin Islands,8/17/2020,,
Guam,8/17/2020,,
American Samoa,8/17/2020,,
Georgia,8/16/2020,27.7498911,0.683086778
Florida,8/16/2020,27.23761702,0.849121476
Texas,8/16/2020,25.91471036,0.724111406
Idaho,8/16/2020,24.27631973,0.260597864
Nevada,8/16/2020,23.89276007,0.541412297
Mississippi,8/16/2020,23.7399256,0.899275844
Tennessee,8/16/2020,23.20317315,0.301750979
California,8/16/2020,23.15895942,0.312749058
Alabama,8/16/2020,20.74815103,0.379949237
Missouri,8/16/2020,20.55023038,0.114258628
Arkansas,8/16/2020,20.36172195,0.309683984
Louisiana,8/16/2020,19.98476633,0.748010889
North Dakota,8/16/2020,18.62593245,0.244336147
Puerto Rico,8/16/2020,17.37006021,0.250379246
Oklahoma,8/16/2020,17.3033742,0.210133104
South Carolina,8/16/2020,17.03340613,0.668748047
Iowa,8/16/2020,15.96884807,0.199157969
Kansas,8/16/2020,15.81408175,0.127572487
Hawaii,8/16/2020,15.52783007,0.090511963
Nebraska,8/16/2020,14.36518188,0.118475727
Illinois,8/16/2020,13.49067067,0.123335586
Arizona,8/16/2020,13.17489936,0.709141846
Indiana,8/16/2020,12.99443039,0.196400131
Delaware,8/16/2020,12.93906219,0.029541238
Wisconsin,8/16/2020,12.74604511,0.100749537
