State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
California,1/3/2015,"40,784",12/27/2014,"420,154","15,245,478",2.76
California,1/10/2015,"66,906",1/3/2015,"423,923","15,354,250",2.76
California,1/17/2015,"62,191",1/10/2015,"464,163","15,354,250",3.02
California,1/24/2015,"40,605",1/17/2015,"390,977","15,354,250",2.55
California,1/31/2015,"58,673",1/24/2015,"468,557","15,354,250",3.05
California,2/7/2015,"61,006",1/31/2015,"431,740","15,354,250",2.81
California,2/14/2015,"46,871",2/7/2015,"452,876","15,354,250",2.95
California,2/21/2015,"43,039",2/14/2015,"420,633","15,354,250",2.74
California,2/28/2015,"47,589",2/21/2015,"453,566","15,354,250",2.95
California,3/7/2015,"45,764",2/28/2015,"444,014","15,354,250",2.89
California,3/14/2015,"46,784",3/7/2015,"432,241","15,354,250",2.82
California,3/21/2015,"44,249",3/14/2015,"458,111","15,354,250",2.98
California,3/28/2015,"43,250",3/21/2015,"419,464","15,354,250",2.73
California,4/4/2015,"39,603",3/28/2015,"401,616","15,354,250",2.62
California,4/11/2015,"50,178",4/4/2015,"384,669","15,525,569",2.48
California,4/18/2015,"51,521",4/11/2015,"403,219","15,525,569",2.6
California,4/25/2015,"47,303",4/18/2015,"411,700","15,525,569",2.65
California,5/2/2015,"45,550",4/25/2015,"393,899","15,525,569",2.54
California,5/9/2015,"45,289",5/2/2015,"397,919","15,525,569",2.56
California,5/16/2015,"42,759",5/9/2015,"372,770","15,525,569",2.4
California,5/23/2015,"42,678",5/16/2015,"375,918","15,525,569",2.42
California,5/30/2015,"34,787",5/23/2015,"327,528","15,525,569",2.11
California,6/6/2015,"45,704",5/30/2015,"368,285","15,525,569",2.37
California,6/13/2015,"43,112",6/6/2015,"347,060","15,525,569",2.24
California,6/20/2015,"45,297",6/13/2015,"358,319","15,525,569",2.31
California,6/27/2015,"48,227",6/20/2015,"347,736","15,525,569",2.24
California,7/4/2015,"53,941",6/27/2015,"372,194","15,525,569",2.4
California,7/11/2015,"46,942",7/4/2015,"354,829","15,580,610",2.28
California,7/18/2015,"48,890",7/11/2015,"356,765","15,580,610",2.29
California,7/25/2015,"45,028",7/18/2015,"373,848","15,580,610",2.4
California,8/1/2015,"41,871",7/25/2015,"365,036","15,580,610",2.34
California,8/8/2015,"44,369",8/1/2015,"369,801","15,580,610",2.37
California,8/15/2015,"44,200",8/8/2015,"354,167","15,580,610",2.27
California,8/22/2015,"42,898",8/15/2015,"363,099","15,580,610",2.33
California,8/29/2015,"41,597",8/22/2015,"355,479","15,580,610",2.28
California,9/5/2015,"42,125",8/29/2015,"348,562","15,580,610",2.24
California,9/12/2015,"36,839",9/5/2015,"322,058","15,580,610",2.07
California,9/19/2015,"40,564",9/12/2015,"338,981","15,580,610",2.18
California,9/26/2015,"40,180",9/19/2015,"336,664","15,580,610",2.16
California,10/3/2015,"42,531",9/26/2015,"329,972","15,580,610",2.12
California,10/10/2015,"44,298",10/3/2015,"313,322","15,685,876",2
California,10/17/2015,"43,592",10/10/2015,"307,831","15,685,876",1.96
California,10/24/2015,"45,861",10/17/2015,"329,502","15,685,876",2.1
California,10/31/2015,"48,011",10/24/2015,"327,658","15,685,876",2.09
California,11/7/2015,"47,675",10/31/2015,"331,961","15,685,876",2.12
California,11/14/2015,"45,851",11/7/2015,"316,408","15,685,876",2.02
California,11/21/2015,"53,792",11/14/2015,"351,182","15,685,876",2.24
California,11/28/2015,"33,484",11/21/2015,"268,975","15,685,876",1.71
California,12/5/2015,"55,971",11/28/2015,"425,481","15,685,876",2.71
California,12/12/2015,"55,903",12/5/2015,"379,914","15,685,876",2.42
California,12/19/2015,"53,000",12/12/2015,"387,490","15,685,876",2.47
California,12/26/2015,"43,100",12/19/2015,"333,886","15,685,876",2.13
California,1/2/2016,"40,909",12/26/2015,"378,586","15,685,876",2.41
California,1/9/2016,"58,280",1/2/2016,"425,252","15,796,759",2.69
California,1/16/2016,"74,705",1/9/2016,"421,761","15,796,759",2.67
California,1/23/2016,"53,436",1/16/2016,"405,280","15,796,759",2.57
California,1/30/2016,"50,563",1/23/2016,"426,884","15,796,759",2.7
California,2/6/2016,"49,006",1/30/2016,"414,632","15,796,759",2.62
California,2/13/2016,"47,599",2/6/2016,"417,123","15,796,759",2.64
California,2/20/2016,"42,084",2/13/2016,"384,556","15,796,759",2.43
California,2/27/2016,"46,430",2/20/2016,"435,303","15,796,759",2.76
California,3/5/2016,"45,142",2/27/2016,"415,193","15,796,759",2.63
California,3/12/2016,"46,501",3/5/2016,"427,541","15,796,759",2.71
California,3/19/2016,"44,151",3/12/2016,"416,514","15,796,759",2.64
California,3/26/2016,"43,613",3/19/2016,"411,440","15,796,759",2.6
California,4/2/2016,"36,495",3/26/2016,"404,644","15,796,759",2.56
California,4/9/2016,"49,058",4/2/2016,"385,140","15,932,223",2.42
California,4/16/2016,"50,147",4/9/2016,"384,589","15,932,223",2.41
California,4/23/2016,"46,601",4/16/2016,"393,885","15,932,223",2.47
California,4/30/2016,"42,674",4/23/2016,"379,128","15,932,223",2.38
California,5/7/2016,"41,853",4/30/2016,"373,021","15,932,223",2.34
California,5/14/2016,"43,498",5/7/2016,"364,633","15,932,223",2.29
California,5/21/2016,"40,546",5/14/2016,"359,256","15,932,223",2.25
California,5/28/2016,"44,373",5/21/2016,"352,879","15,932,223",2.21
California,6/4/2016,"35,335",5/28/2016,"315,430","15,932,223",1.98
California,6/11/2016,"54,097",6/4/2016,"342,261","15,932,223",2.15
California,6/18/2016,"44,571",6/11/2016,"344,787","15,932,223",2.16
California,6/25/2016,"49,734",6/18/2016,"342,724","15,932,223",2.15
California,7/2/2016,"45,915",6/25/2016,"354,923","15,932,223",2.23
California,7/9/2016,"39,137",7/2/2016,"318,772","16,049,781",1.99
California,7/16/2016,"44,078",7/9/2016,"358,938","16,049,781",2.24
California,7/23/2016,"42,549",7/16/2016,"350,989","16,049,781",2.19
California,7/30/2016,"43,036",7/23/2016,"358,923","16,049,781",2.24
California,8/6/2016,"43,415",7/30/2016,"351,250","16,049,781",2.19
California,8/13/2016,"41,738",8/6/2016,"354,052","16,049,781",2.21
California,8/20/2016,"38,776",8/13/2016,"348,813","16,049,781",2.17
California,8/27/2016,"40,404",8/20/2016,"359,363","16,049,781",2.24
California,9/3/2016,"40,240",8/27/2016,"336,929","16,049,781",2.1
California,9/10/2016,"35,613",9/3/2016,"317,781","16,049,781",1.98
California,9/17/2016,"38,765",9/10/2016,"322,285","16,049,781",2.01
California,9/24/2016,"38,021",9/17/2016,"322,607","16,049,781",2.01
California,10/1/2016,"38,281",9/24/2016,"314,645","16,049,781",1.96
California,10/8/2016,"43,422",10/1/2016,"320,241","16,170,165",1.98
California,10/15/2016,"46,010",10/8/2016,"301,777","16,170,165",1.87
California,10/22/2016,"44,406",10/15/2016,"319,330","16,170,165",1.97
California,10/29/2016,"46,393",10/22/2016,"316,187","16,170,165",1.96
California,11/5/2016,"47,345",10/29/2016,"320,612","16,170,165",1.98
California,11/12/2016,"39,455",11/5/2016,"311,269","16,170,165",1.92
California,11/19/2016,"53,669",11/12/2016,"353,912","16,170,165",2.19
California,11/26/2016,"42,330",11/19/2016,"295,675","16,170,165",1.83
California,12/3/2016,"53,810",11/26/2016,"383,139","16,170,165",2.37
California,12/10/2016,"50,637",12/3/2016,"366,490","16,170,165",2.27
California,12/17/2016,"50,254",12/10/2016,"377,184","16,170,165",2.33
California,12/24/2016,"52,811",12/17/2016,"364,428","16,170,165",2.25
California,12/31/2016,"37,975",12/24/2016,"349,709","16,170,165",2.16
California,1/7/2017,"43,975",12/31/2016,"377,379","16,170,165",2.33
California,1/14/2017,"60,959",1/7/2017,"419,806","16,288,780",2.58
California,1/21/2017,"61,914",1/14/2017,"382,714","16,288,780",2.35
California,1/28/2017,"53,825",1/21/2017,"429,836","16,288,780",2.64
California,2/4/2017,"45,464",1/28/2017,"407,599","16,288,780",2.5
California,2/11/2017,"49,677",2/4/2017,"422,195","16,288,780",2.59
California,2/18/2017,"48,928",2/11/2017,"431,201","16,288,780",2.65
California,2/25/2017,"43,328",2/18/2017,"400,795","16,288,780",2.46
California,3/4/2017,"45,208",2/25/2017,"435,797","16,288,780",2.68
California,3/11/2017,"45,766",3/4/2017,"434,160","16,288,780",2.67
California,3/18/2017,"41,002",3/11/2017,"400,481","16,288,780",2.46
California,3/25/2017,"42,605",3/18/2017,"416,245","16,288,780",2.56
California,4/1/2017,"35,367",3/25/2017,"393,445","16,288,780",2.42
California,4/8/2017,"43,753",4/1/2017,"401,748","16,386,501",2.45
California,4/15/2017,"47,139",4/8/2017,"381,526","16,386,501",2.33
California,4/22/2017,"45,118",4/15/2017,"384,361","16,386,501",2.35
California,4/29/2017,"43,906",4/22/2017,"381,890","16,386,501",2.33
California,5/6/2017,"43,076",4/29/2017,"364,455","16,386,501",2.22
