Date,State,Positive,Positive Increase,Death Increase,Death Confirmed,Death Probable,Hospitalized,Negative,Recovered,Total,Total Test Results,Date Format,weeknum
20200822,MD,103523,624,11,3685,139,13864,1116918,6047,1220441,1220441,8/22/2020,34
20200821,MD,102899,670,5,3674,138,13823,1101368,6047,1204267,1204267,8/21/2020,34
20200820,MD,102229,580,8,3669,138,13785,1085447,6040,1187676,1187676,8/20/2020,34
20200819,MD,101649,414,11,3661,139,13744,1074119,6030,1175768,1175768,8/19/2020,34
20200818,MD,101235,520,9,3650,139,13698,1066070,6008,1167305,1167305,8/18/2020,34
20200817,MD,100715,503,2,3641,137,13658,1056897,6008,1157612,1157612,8/17/2020,34
20200816,MD,100212,519,3,3639,137,13614,1042198,6004,1142410,1142410,8/16/2020,33
20200815,MD,99693,818,5,3636,137,13556,1027959,5995,1127652,1127652,8/15/2020,33
20200814,MD,98875,715,11,3631,136,13508,1011398,5986,1110273,1110273,8/14/2020,33
20200813,MD,98160,776,8,3620,137,13463,996934,5962,1095094,1095094,8/13/2020,33
20200812,MD,97384,541,8,3612,138,13348,981454,5956,1078838,1078838,8/12/2020,33
20200811,MD,96843,585,13,3604,137,13266,970616,5935,1067459,1067459,8/11/2020,33
20200810,MD,96258,755,6,3591,137,13247,960552,5910,1056810,1056810,8/10/2020,33
20200809,MD,95503,922,8,3585,137,13177,943842,5910,1039345,1039345,8/9/2020,32
20200808,MD,94581,775,12,3577,137,13105,924942,5899,1019523,1019523,8/8/2020,32
20200807,MD,93806,801,14,3565,136,13047,913018,5838,1006824,1006824,8/7/2020,32
20200806,MD,93005,579,15,3551,136,12978,899136,5790,992141,992141,8/6/2020,32
20200805,MD,92426,572,6,3536,134,12922,889969,5749,982395,982395,8/5/2020,32
20200804,MD,91854,710,7,3530,134,12888,880492,5740,972346,972346,8/4/2020,32
20200803,MD,91144,870,8,3523,134,12832,869493,5740,960637,960637,8/3/2020,32
20200802,MD,90274,909,9,3515,134,12746,854512,5713,944786,944786,8/2/2020,31
20200801,MD,89365,1019,13,3506,132,12672,839989,5713,929354,929354,8/1/2020,31
20200731,MD,88346,1169,5,3493,131,12593,822845,5689,911191,911191,7/31/2020,31
20200730,MD,87177,892,10,3488,131,12500,806788,5592,893965,893965,7/30/2020,31
20200729,MD,86285,761,20,3478,131,12448,792674,5592,878959,878959,7/29/2020,31
20200728,MD,85524,648,11,3458,131,12389,782732,5592,868256,868256,7/28/2020,31
20200727,MD,84876,1128,7,3447,132,12339,770642,5434,855518,855518,7/27/2020,31
20200726,MD,83748,694,7,3440,131,12283,754824,5434,838572,838572,7/26/2020,30
