,State,Weeknum,Anxiety,Insured Unemployment Rate
0,California,17,31.2,27.75
1,California,19,29.53333333333333,20.57
2,California,20,33.266666666666666,12.44
3,California,21,31.166666666666668,15.88
4,California,22,33.1,16.23
5,California,23,34.0,17.32
6,California,24,32.93333333333334,16.04
7,California,25,33.300000000000004,16.74
8,California,26,32.63333333333333,15.92
9,California,27,33.300000000000004,16.94
10,California,28,38.46666666666667,15.55
11,California,29,38.06666666666666,18.05
12,Florida,17,30.633333333333336,5.17
13,Florida,19,28.666666666666668,25.04
14,Florida,20,28.666666666666668,6.16
15,Florida,21,33.93333333333334,7.34
16,Florida,22,34.46666666666667,11.25
17,Florida,23,35.233333333333334,10.71
18,Florida,24,35.766666666666666,11.59
19,Florida,25,33.93333333333333,8.63
20,Florida,26,37.766666666666666,6.77
21,Florida,27,35.9,10.48
22,Florida,28,38.1,8.57
23,Florida,29,35.43333333333333,7.91
24,Georgia,17,31.233333333333334,20.18
25,Georgia,19,29.8,18.01
26,Georgia,20,28.666666666666668,16.67
27,Georgia,21,32.6,17.2
28,Georgia,22,30.366666666666664,15.91
29,Georgia,23,31.333333333333332,15.55
30,Georgia,24,32.03333333333333,15.26
31,Georgia,25,32.266666666666666,15.07
32,Georgia,26,36.36666666666667,14.13
33,Georgia,27,32.53333333333333,17.99
34,Georgia,28,36.56666666666666,15.96
35,Georgia,29,35.06666666666667,14.45
36,Maryland,17,27.166666666666668,8.89
37,Maryland,19,29.76666666666667,9.92
38,Maryland,20,27.26666666666667,9.99
39,Maryland,21,26.76666666666667,9.66
40,Maryland,22,26.266666666666666,9.68
41,Maryland,23,22.7,9.81
42,Maryland,24,33.6,9.56
43,Maryland,25,28.46666666666667,9.14
44,Maryland,26,28.400000000000002,9.66
45,Maryland,27,30.26666666666667,9.18
46,Maryland,28,28.566666666666663,9.1
47,Maryland,29,34.0,8.58
48,South Dakota,17,21.733333333333334,5.69
49,South Dakota,19,25.46666666666667,6.03
50,South Dakota,20,24.266666666666666,5.37
51,South Dakota,21,30.833333333333332,4.7
52,South Dakota,22,25.333333333333332,4.92
53,South Dakota,23,25.53333333333333,4.46
54,South Dakota,24,23.900000000000002,4.11
55,South Dakota,25,25.633333333333336,4.1
56,South Dakota,26,30.5,3.81
57,South Dakota,27,31.066666666666666,4.47
58,South Dakota,28,30.46666666666667,3.96
59,South Dakota,29,30.2,3.74
60,Texas,17,29.666666666666668,9.21
61,Texas,19,31.333333333333332,10.57
62,Texas,20,29.5,10.34
63,Texas,21,33.03333333333334,11.39
64,Texas,22,31.399999999999995,9.88
65,Texas,23,34.300000000000004,10.54
66,Texas,24,34.199999999999996,9.93
67,Texas,25,31.3,10.58
68,Texas,26,34.93333333333333,10.06
69,Texas,27,36.06666666666666,10.61
70,Texas,28,39.56666666666667,10.08
71,Texas,29,38.36666666666667,10.82
72,California,1,,2.06
73,California,2,,2.18
74,California,3,,1.95
75,California,4,,2.25
76,California,5,,2.08
77,California,6,,2.17
78,California,7,,2.02
79,California,8,,2.14
80,California,9,,2.19
81,California,10,,2.04
82,California,11,,2.44
83,California,12,,2.32
84,California,13,,6.24
85,California,14,,8.25
86,California,15,,13.98
87,California,16,,10.89
88,California,18,,16.45
89,California,30,,16.03
90,California,31,,17.02
91,Florida,1,,0.41
92,Florida,2,,0.4
93,Florida,3,,0.39
94,Florida,4,,0.42
95,Florida,5,,0.39
96,Florida,6,,0.4
97,Florida,7,,0.39
98,Florida,8,,0.39
99,Florida,9,,0.37
100,Florida,10,,0.37
101,Florida,11,,0.39
102,Florida,12,,0.41
103,Florida,13,,1.15
104,Florida,14,,3.95
105,Florida,15,,2.06
106,Florida,16,,6.29
