,State,Weeknum,Anxiety,Insured Unemployment Rate
0,California,17,37.4,27.75
1,California,19,34.4,20.57
2,California,20,38.8,12.44
3,California,21,36.2,15.88
4,California,22,38.6,16.23
5,California,23,39.7,17.32
6,California,24,37.9,16.04
7,California,25,39.1,16.74
8,California,26,38.1,15.92
9,California,27,39.4,16.94
10,California,28,44.5,15.55
11,California,29,44.1,18.05
12,Florida,17,36.8,5.17
13,Florida,19,33.6,25.04
14,Florida,20,33.5,6.16
15,Florida,21,39.1,7.34
16,Florida,22,40.0,11.25
17,Florida,23,40.7,10.71
18,Florida,24,41.8,11.59
19,Florida,25,39.7,8.63
20,Florida,26,43.8,6.77
21,Florida,27,42.0,10.48
22,Florida,28,43.6,8.57
23,Florida,29,40.5,7.91
24,Georgia,17,36.2,20.18
25,Georgia,19,34.3,18.01
26,Georgia,20,33.6,16.67
27,Georgia,21,37.5,17.2
28,Georgia,22,34.9,15.91
29,Georgia,23,35.7,15.55
30,Georgia,24,37.1,15.26
31,Georgia,25,36.3,15.07
32,Georgia,26,40.9,14.13
33,Georgia,27,38.0,17.99
34,Georgia,28,43.6,15.96
35,Georgia,29,40.0,14.45
36,Maryland,17,32.9,8.89
37,Maryland,19,34.6,9.92
38,Maryland,20,32.7,9.99
39,Maryland,21,31.6,9.66
40,Maryland,22,30.8,9.68
41,Maryland,23,26.9,9.81
42,Maryland,24,38.3,9.56
43,Maryland,25,33.3,9.14
44,Maryland,26,33.6,9.66
45,Maryland,27,36.1,9.18
46,Maryland,28,33.6,9.1
47,Maryland,29,39.3,8.58
48,South Dakota,17,25.6,5.69
49,South Dakota,19,29.8,6.03
50,South Dakota,20,27.8,5.37
51,South Dakota,21,36.3,4.7
52,South Dakota,22,29.7,4.92
53,South Dakota,23,29.8,4.46
54,South Dakota,24,28.0,4.11
55,South Dakota,25,31.0,4.1
56,South Dakota,26,35.0,3.81
57,South Dakota,27,35.2,4.47
58,South Dakota,28,34.7,3.96
59,South Dakota,29,35.4,3.74
60,Texas,17,34.9,9.21
61,Texas,19,35.9,10.57
62,Texas,20,34.8,10.34
63,Texas,21,37.7,11.39
64,Texas,22,36.9,9.88
65,Texas,23,39.6,10.54
66,Texas,24,39.5,9.93
67,Texas,25,36.2,10.58
68,Texas,26,40.7,10.06
69,Texas,27,41.6,10.61
70,Texas,28,45.9,10.08
71,Texas,29,44.3,10.82
