State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,Weeknum
California,2015-01-03,"40,784",2014-12-27,"420,154","15,245,478",2.76,52
California,2015-01-10,"66,906",2015-01-03,"423,923","15,354,250",2.76,1
California,2015-01-17,"62,191",2015-01-10,"464,163","15,354,250",3.02,2
California,2015-01-24,"40,605",2015-01-17,"390,977","15,354,250",2.55,3
California,2015-01-31,"58,673",2015-01-24,"468,557","15,354,250",3.05,4
California,2015-02-07,"61,006",2015-01-31,"431,740","15,354,250",2.81,5
California,2015-02-14,"46,871",2015-02-07,"452,876","15,354,250",2.95,6
California,2015-02-21,"43,039",2015-02-14,"420,633","15,354,250",2.74,7
California,2015-02-28,"47,589",2015-02-21,"453,566","15,354,250",2.95,8
California,2015-03-07,"45,764",2015-02-28,"444,014","15,354,250",2.89,9
California,2015-03-14,"46,784",2015-03-07,"432,241","15,354,250",2.82,10
California,2015-03-21,"44,249",2015-03-14,"458,111","15,354,250",2.98,11
California,2015-03-28,"43,250",2015-03-21,"419,464","15,354,250",2.73,12
California,2015-04-04,"39,603",2015-03-28,"401,616","15,354,250",2.62,13
California,2015-04-11,"50,178",2015-04-04,"384,669","15,525,569",2.48,14
California,2015-04-18,"51,521",2015-04-11,"403,219","15,525,569",2.6,15
California,2015-04-25,"47,303",2015-04-18,"411,700","15,525,569",2.65,16
California,2015-05-02,"45,550",2015-04-25,"393,899","15,525,569",2.54,17
California,2015-05-09,"45,289",2015-05-02,"397,919","15,525,569",2.56,18
California,2015-05-16,"42,759",2015-05-09,"372,770","15,525,569",2.4,19
California,2015-05-23,"42,678",2015-05-16,"375,918","15,525,569",2.42,20
California,2015-05-30,"34,787",2015-05-23,"327,528","15,525,569",2.11,21
California,2015-06-06,"45,704",2015-05-30,"368,285","15,525,569",2.37,22
California,2015-06-13,"43,112",2015-06-06,"347,060","15,525,569",2.24,23
California,2015-06-20,"45,297",2015-06-13,"358,319","15,525,569",2.31,24
California,2015-06-27,"48,227",2015-06-20,"347,736","15,525,569",2.24,25
California,2015-07-04,"53,941",2015-06-27,"372,194","15,525,569",2.4,26
California,2015-07-11,"46,942",2015-07-04,"354,829","15,580,610",2.28,27
California,2015-07-18,"48,890",2015-07-11,"356,765","15,580,610",2.29,28
California,2015-07-25,"45,028",2015-07-18,"373,848","15,580,610",2.4,29
California,2015-08-01,"41,871",2015-07-25,"365,036","15,580,610",2.34,30
California,2015-08-08,"44,369",2015-08-01,"369,801","15,580,610",2.37,31
California,2015-08-15,"44,200",2015-08-08,"354,167","15,580,610",2.27,32
California,2015-08-22,"42,898",2015-08-15,"363,099","15,580,610",2.33,33
California,2015-08-29,"41,597",2015-08-22,"355,479","15,580,610",2.28,34
California,2015-09-05,"42,125",2015-08-29,"348,562","15,580,610",2.24,35
California,2015-09-12,"36,839",2015-09-05,"322,058","15,580,610",2.07,36
California,2015-09-19,"40,564",2015-09-12,"338,981","15,580,610",2.18,37
California,2015-09-26,"40,180",2015-09-19,"336,664","15,580,610",2.16,38
California,2015-10-03,"42,531",2015-09-26,"329,972","15,580,610",2.12,39
California,2015-10-10,"44,298",2015-10-03,"313,322","15,685,876",2.0,40
California,2015-10-17,"43,592",2015-10-10,"307,831","15,685,876",1.96,41
California,2015-10-24,"45,861",2015-10-17,"329,502","15,685,876",2.1,42
California,2015-10-31,"48,011",2015-10-24,"327,658","15,685,876",2.09,43
California,2015-11-07,"47,675",2015-10-31,"331,961","15,685,876",2.12,44
California,2015-11-14,"45,851",2015-11-07,"316,408","15,685,876",2.02,45
California,2015-11-21,"53,792",2015-11-14,"351,182","15,685,876",2.24,46
California,2015-11-28,"33,484",2015-11-21,"268,975","15,685,876",1.71,47
California,2015-12-05,"55,971",2015-11-28,"425,481","15,685,876",2.71,48
California,2015-12-12,"55,903",2015-12-05,"379,914","15,685,876",2.42,49
California,2015-12-19,"53,000",2015-12-12,"387,490","15,685,876",2.47,50
California,2015-12-26,"43,100",2015-12-19,"333,886","15,685,876",2.13,51
California,2016-01-02,"40,909",2015-12-26,"378,586","15,685,876",2.41,52
California,2016-01-09,"58,280",2016-01-02,"425,252","15,796,759",2.69,53
California,2016-01-16,"74,705",2016-01-09,"421,761","15,796,759",2.67,1
California,2016-01-23,"53,436",2016-01-16,"405,280","15,796,759",2.57,2
California,2016-01-30,"50,563",2016-01-23,"426,884","15,796,759",2.7,3
California,2016-02-06,"49,006",2016-01-30,"414,632","15,796,759",2.62,4
California,2016-02-13,"47,599",2016-02-06,"417,123","15,796,759",2.64,5
California,2016-02-20,"42,084",2016-02-13,"384,556","15,796,759",2.43,6
California,2016-02-27,"46,430",2016-02-20,"435,303","15,796,759",2.76,7
California,2016-03-05,"45,142",2016-02-27,"415,193","15,796,759",2.63,8
California,2016-03-12,"46,501",2016-03-05,"427,541","15,796,759",2.71,9
California,2016-03-19,"44,151",2016-03-12,"416,514","15,796,759",2.64,10
California,2016-03-26,"43,613",2016-03-19,"411,440","15,796,759",2.6,11
California,2016-04-02,"36,495",2016-03-26,"404,644","15,796,759",2.56,12
California,2016-04-09,"49,058",2016-04-02,"385,140","15,932,223",2.42,13
California,2016-04-16,"50,147",2016-04-09,"384,589","15,932,223",2.41,14
California,2016-04-23,"46,601",2016-04-16,"393,885","15,932,223",2.47,15
California,2016-04-30,"42,674",2016-04-23,"379,128","15,932,223",2.38,16
