Date,State,Positive,Death Confirmed,Death Probable,Hospitalized,Negative,Recovered,Total,Total Test Results,Positive Increase,Death Increase
20200822,MD,103523.0,3685.0,139.0,13864.0,1116918.0,6047.0,1220441.0,1220441.0,624.0,11.0
20200821,MD,102899.0,3674.0,138.0,13823.0,1101368.0,6047.0,1204267.0,1204267.0,670.0,5.0
20200820,MD,102229.0,3669.0,138.0,13785.0,1085447.0,6040.0,1187676.0,1187676.0,580.0,8.0
20200819,MD,101649.0,3661.0,139.0,13744.0,1074119.0,6030.0,1175768.0,1175768.0,414.0,11.0
20200818,MD,101235.0,3650.0,139.0,13698.0,1066070.0,6008.0,1167305.0,1167305.0,520.0,9.0
20200817,MD,100715.0,3641.0,137.0,13658.0,1056897.0,6008.0,1157612.0,1157612.0,503.0,2.0
20200816,MD,100212.0,3639.0,137.0,13614.0,1042198.0,6004.0,1142410.0,1142410.0,519.0,3.0
20200815,MD,99693.0,3636.0,137.0,13556.0,1027959.0,5995.0,1127652.0,1127652.0,818.0,5.0
20200814,MD,98875.0,3631.0,136.0,13508.0,1011398.0,5986.0,1110273.0,1110273.0,715.0,11.0
20200813,MD,98160.0,3620.0,137.0,13463.0,996934.0,5962.0,1095094.0,1095094.0,776.0,8.0
20200812,MD,97384.0,3612.0,138.0,13348.0,981454.0,5956.0,1078838.0,1078838.0,541.0,8.0
20200811,MD,96843.0,3604.0,137.0,13266.0,970616.0,5935.0,1067459.0,1067459.0,585.0,13.0
20200810,MD,96258.0,3591.0,137.0,13247.0,960552.0,5910.0,1056810.0,1056810.0,755.0,6.0
20200809,MD,95503.0,3585.0,137.0,13177.0,943842.0,5910.0,1039345.0,1039345.0,922.0,8.0
20200808,MD,94581.0,3577.0,137.0,13105.0,924942.0,5899.0,1019523.0,1019523.0,775.0,12.0
20200807,MD,93806.0,3565.0,136.0,13047.0,913018.0,5838.0,1006824.0,1006824.0,801.0,14.0
20200806,MD,93005.0,3551.0,136.0,12978.0,899136.0,5790.0,992141.0,992141.0,579.0,15.0
20200805,MD,92426.0,3536.0,134.0,12922.0,889969.0,5749.0,982395.0,982395.0,572.0,6.0
20200804,MD,91854.0,3530.0,134.0,12888.0,880492.0,5740.0,972346.0,972346.0,710.0,7.0
20200803,MD,91144.0,3523.0,134.0,12832.0,869493.0,5740.0,960637.0,960637.0,870.0,8.0
20200802,MD,90274.0,3515.0,134.0,12746.0,854512.0,5713.0,944786.0,944786.0,909.0,9.0
20200801,MD,89365.0,3506.0,132.0,12672.0,839989.0,5713.0,929354.0,929354.0,1019.0,13.0
20200731,MD,88346.0,3493.0,131.0,12593.0,822845.0,5689.0,911191.0,911191.0,1169.0,5.0
20200730,MD,87177.0,3488.0,131.0,12500.0,806788.0,5592.0,893965.0,893965.0,892.0,10.0
20200729,MD,86285.0,3478.0,131.0,12448.0,792674.0,5592.0,878959.0,878959.0,761.0,20.0
20200728,MD,85524.0,3458.0,131.0,12389.0,782732.0,5592.0,868256.0,868256.0,648.0,11.0
20200727,MD,84876.0,3447.0,132.0,12339.0,770642.0,5434.0,855518.0,855518.0,1128.0,7.0
